Candidate_Recipe,Source,Type,Status,Priority,Why_This_Helps,Target_Test_Recipe,Target_Unseen_Ingredients,Expected_New_Ingredients,Likely_Overlap_Risk,Notes
Unguentum Populeon variant (Salernitan/Platearius),Salernitan topical tradition,Topical sedative / analgesic,to_find,critical,"Best current test-support gap; should inject topical sedatives absent from train",Unguentum Populeon,"Populus|Papaver nigrum|Sempervivum|Solanum|Umbilicus veneris","Populus|Papaver nigrum|Sempervivum|Solanum|Umbilicus veneris",low,"Priority 1 because current nearest-train Jaccard is only 0.158"
Diasatyrion variant (additional witness),Antidotarium / Salernitan tradition,Afrodisiac / restorative,to_find,critical,"Adds an underrepresented family with five unseen ingredients in test",Diasatyrion,"Eruca|Orchis|Pastinaca|Satyrion|Triphallus","Eruca|Orchis|Pastinaca|Satyrion|Triphallus",low,"Current train support only 64.3%"
Diascordium variant (earlier/parallel witness),Fracastoro / Salernitan antidotal tradition,Antidote / antipestilential,to_find,critical,"Would add missing Diascordium-specific actives and reduce mismatch to Paulinum",Diascordium,"Bistorta|Dictamnus|Scordium|Styrax","Bistorta|Dictamnus|Scordium|Styrax",medium,"Styrax also helps Philonium Persicum and Theriac Magna gaps"
Mithridatium witness with Acacia/Hypocistis/Thlaspi,Nicolaus / Galenic antidotal tradition,Antidote against poison,to_find,high,"Targets remaining blind-test gaps inside a major antidote family",Mithridatium,"Acacia|Hypocistis|Nardus celtica|Thlaspi","Acacia|Hypocistis|Nardus celtica|Thlaspi",medium,"Avoid adding another near-duplicate that lacks these ingredients"
Theriac Magna witness with viper troches and balsamum,Galenic / Andromachan tradition,Universal antidote,to_find,high,"Adds the six missing ingredients of the largest blind-test antidote",Theriac Magna (Triaca de Andromachus),"Balsamum|Bitumen judaicum|Hedychium|Nardus celtica|Styrax|Trochisci de vipera","Balsamum|Bitumen judaicum|Hedychium|Nardus celtica|Styrax|Trochisci de vipera",high,"Only worth adding if it materially expands the missing set, not if it is another compressed theriac"
Philonium Persicum witness with Euphorbium/Hypocistis/Styrax,Antidotarium Nicolai tradition,Analgesic / antidiarrheal,to_find,high,"Improves coverage of an already similar family by adding the three missing actives",Philonium Persicum,"Euphorbium|Hypocistis|Styrax","Euphorbium|Hypocistis|Styrax",medium,"Useful only if ingredient list is richer than Trifera Saracenica-like overlap"
Topical poplar/belladonna family ointment,Abulcasis / Roger / Platearius,Topical sedative,to_find,high,"Populeon-like support without importing another spice-heavy electuary",Unguentum Populeon,"Populus|Solanum|Lactuca|Hyoscyamus","Populus|Solanum|Lactuca|Hyoscyamus",low,"Topicals are underrepresented and structurally different from electuaries"
Simple for Styrax,Arabic/Salernitan simples,Simple ingredient note,to_find,medium,"Styrax is a recurring blind-test gap and currently weakly supported",Diascordium|Philonium Persicum|Theriac Magna,"Styrax","Styrax",low,"Useful if source gives a clean ingredient profile or medicinal use context"
Simple for Hypocistis,Arabic/Salernitan simples,Simple ingredient note,to_find,medium,"Hypocistis appears as a missing antidotal active across multiple blind-test recipes",Mithridatium|Philonium Persicum,"Hypocistis","Hypocistis",low,"Could help if later we add a simples-aware auxiliary corpus"
Simple for Nardus celtica,Galenic/Arabic simples,Simple ingredient note,to_find,medium,"Nardus celtica is missing in major antidote families",Mithridatium|Theriac Magna,"Nardus celtica","Nardus celtica",low,"Same rationale as Hypocistis"
