Folio,Opium_F1,Opium_Recipe,Cast_F1,Cast_Recipe,Both_F1,Verdict
f87r,28.6,Philonium Romanum,33.3,Dianucum (Electuario de N,37.5,TIED
f87v,14.3,Philonium Romanum,36.4,Pillulae Fetidae (Pildora,26.7,CASTOREUM
f88r,43.5,Philonium Romanum,48.3,Theodoricon Euporistum,55.0,TIED
f88v,57.1,Philonium Romanum,59.3,Theodoricon Euporistum,66.7,TIED
f89r,57.1,Philonium Romanum,59.3,Theodoricon Euporistum,66.7,TIED
f89v,60.0,Philonium Romanum,61.5,Theodoricon Euporistum,69.6,TIED
f90r,70.6,Philonium Romanum,62.5,Confectio Anacardia,63.2,OPIUM
f90v,28.6,Philonium Romanum,33.3,Dianucum (Electuario de N,40.0,TIED
f93r,47.1,Philonium Romanum,43.5,Theodoricon Euporistum,52.6,TIED
f93v,47.1,Philonium Romanum,50.0,Confectio Anacardia,52.6,TIED
f94r,30.8,Philonium Romanum,21.1,Theodoricon Euporistum,28.6,OPIUM
f94v,53.3,Philonium Romanum,42.9,Confectio Anacardia,50.0,OPIUM
f95r,63.2,Philonium Romanum,56.0,Theodoricon Euporistum,63.6,OPIUM
f95v,25.0,Philonium Romanum,36.4,Theodoricon Euporistum,43.5,CASTOREUM
f96r,44.4,Philonium Romanum,47.1,Confectio Anacardia,48.0,TIED
f96v,16.7,Philonium Romanum,18.2,Confectio Anacardia,15.4,TIED
f99r,47.1,Philonium Romanum,52.2,Theodoricon Euporistum,52.6,CASTOREUM
f99v,40.0,Philonium Romanum,42.9,Confectio Anacardia,47.1,TIED
f100r,32.0,Requies Magna (Requies Ni,32.0,Theodoricon Euporistum,38.9,TIED
f100v,47.1,Philonium Romanum,50.0,Confectio Anacardia,50.0,TIED
f101r,54.5,Philonium Romanum,57.1,Theodoricon Euporistum,58.3,TIED
f101v,66.7,Philonium Romanum,58.8,Confectio Anacardia,66.7,OPIUM
f102r,52.6,Philonium Romanum,56.0,Theodoricon Euporistum,63.6,TIED
f102v,44.4,Philonium Romanum,50.0,Theodoricon Euporistum,57.1,CASTOREUM
f103r,37.5,Philonium Romanum,45.5,Theodoricon Euporistum,42.1,CASTOREUM
f103v,47.1,Philonium Romanum,52.2,Theodoricon Euporistum,50.0,CASTOREUM
f104r,52.6,Philonium Romanum,56.0,Theodoricon Euporistum,54.5,TIED
f104v,44.4,Philonium Romanum,50.0,Theodoricon Euporistum,57.1,CASTOREUM
f105r,60.0,Philonium Romanum,61.5,Theodoricon Euporistum,69.6,TIED
f105v,47.1,Philonium Romanum,43.5,Theodoricon Euporistum,50.0,TIED
f106r,52.6,Philonium Romanum,56.0,Theodoricon Euporistum,63.6,TIED
f106v,35.3,Philonium Romanum,43.5,Theodoricon Euporistum,50.0,CASTOREUM
f107r,50.0,Philonium Romanum,45.5,Theodoricon Euporistum,52.6,TIED
f107v,60.0,Philonium Romanum,61.5,Theodoricon Euporistum,69.6,TIED
f108r,42.1,Philonium Romanum,56.0,Theodoricon Euporistum,54.5,CASTOREUM
f108v,44.4,Philonium Romanum,58.3,Theodoricon Euporistum,57.1,CASTOREUM
f111r,31.6,Philonium Romanum,48.0,Theodoricon Euporistum,45.5,CASTOREUM
f111v,50.0,Philonium Romanum,61.5,Theodoricon Euporistum,60.9,CASTOREUM
f112r,44.4,Philonium Romanum,50.0,Theodoricon Euporistum,57.1,CASTOREUM
f112v,52.6,Philonium Romanum,48.0,Theodoricon Euporistum,60.0,TIED
f113r,52.2,Philonium Romanum,62.1,Theodoricon Euporistum,61.5,CASTOREUM
f113v,63.6,Philonium Romanum,71.4,Theodoricon Euporistum,72.0,CASTOREUM
f114r,70.0,Philonium Romanum,63.2,Confectio Anacardia,69.6,OPIUM
f114v,52.6,Philonium Romanum,48.0,Theodoricon Euporistum,54.5,TIED
f115r,30.0,Philonium Romanum,46.2,Theodoricon Euporistum,43.5,CASTOREUM
f115v,58.3,Philonium Romanum,53.3,Theodoricon Euporistum,59.3,TIED
f116r,28.6,Philonium Romanum,44.4,Theodoricon Euporistum,52.6,CASTOREUM
f116v,0,Requies Magna (Requies Ni,0,Pillulae Fetidae (Pildora,0,INSUFFICIENT
