Folio,Total_Words,Unique_Stems,Botany_Stems,Estimated_Ingredients,Best_Match,Best_Match_N,Best_Similarity,Second_Match,Second_Match_N,Second_Similarity
f87r,97,77,15,15,Confectio Hamech,15,100.0,Diamargariton,16,93.8
f87v,56,53,12,12,Unguentum Apostolorum,12,100.0,Unguentum Populeon,12,100.0
f88r,148,93,28,28,Trifera Magna,28,100.0,Aurea Alexandrina,22,78.6
f88v,137,107,19,19,Philonium Persicum,18,94.7,Requies Magna,17,89.5
f89r,353,192,36,36,Trifera Magna,28,77.8,Mithridatium,54,66.7
f89v,328,191,43,43,Mithridatium,54,79.6,Theriac Magna,64,67.2
f90r,99,74,21,21,Aurea Alexandrina,22,95.5,Philonium Persicum,18,85.7
f90v,104,80,20,20,Aurea Alexandrina,22,90.9,Philonium Persicum,18,90.0
f93r,144,90,25,25,Trifera Magna,28,89.3,Aurea Alexandrina,22,88.0
f93v,60,52,14,14,Diascordium,14,100.0,Confectio Hamech,15,93.3
f94r,72,57,20,20,Aurea Alexandrina,22,90.9,Philonium Persicum,18,90.0
f94v,63,54,13,13,Diascordium,14,92.9,Unguentum Apostolorum,12,92.3
f95r,181,110,26,26,Trifera Magna,28,92.9,Aurea Alexandrina,22,84.6
f95v,164,116,19,19,Philonium Persicum,18,94.7,Requies Magna,17,89.5
f96r,77,61,19,19,Philonium Persicum,18,94.7,Requies Magna,17,89.5
f96v,46,45,7,7,Pillulae Aureae,7,100.0,Unguentum Basilicon,7,100.0
f99r,191,136,26,26,Trifera Magna,28,92.9,Aurea Alexandrina,22,84.6
f99v,152,110,24,24,Aurea Alexandrina,22,91.7,Trifera Magna,28,85.7
f100r,105,84,16,16,Diamargariton,16,100.0,Requies Magna,17,94.1
f100v,91,67,11,11,Diaciminum,11,100.0,Unguentum Apostolorum,12,91.7
f101r,223,123,29,29,Trifera Magna,28,96.6,Aurea Alexandrina,22,75.9
f101v,204,140,28,28,Trifera Magna,28,100.0,Aurea Alexandrina,22,78.6
f102r,222,156,19,19,Philonium Persicum,18,94.7,Requies Magna,17,89.5
f102v,306,179,31,31,Trifera Magna,28,90.3,Aurea Alexandrina,22,71.0
f103r,522,261,32,32,Trifera Magna,28,87.5,Aurea Alexandrina,22,68.8
f103v,440,216,28,28,Trifera Magna,28,100.0,Aurea Alexandrina,22,78.6
f104r,438,251,37,37,Trifera Magna,28,75.7,Mithridatium,54,68.5
f104v,467,250,38,38,Trifera Magna,28,73.7,Mithridatium,54,70.4
f105r,371,236,26,26,Trifera Magna,28,92.9,Aurea Alexandrina,22,84.6
f105v,392,224,31,31,Trifera Magna,28,90.3,Aurea Alexandrina,22,71.0
f106r,420,265,40,40,Mithridatium,54,74.1,Trifera Magna,28,70.0
f106v,439,261,39,39,Mithridatium,54,72.2,Trifera Magna,28,71.8
f107r,481,252,35,35,Trifera Magna,28,80.0,Mithridatium,54,64.8
f107v,448,222,35,35,Trifera Magna,28,80.0,Mithridatium,54,64.8
f108r,486,254,30,30,Trifera Magna,28,93.3,Aurea Alexandrina,22,73.3
f108v,562,244,33,33,Trifera Magna,28,84.8,Aurea Alexandrina,22,66.7
f111r,602,316,38,38,Trifera Magna,28,73.7,Mithridatium,54,70.4
f111v,553,247,35,35,Trifera Magna,28,80.0,Mithridatium,54,64.8
f112r,385,224,27,27,Trifera Magna,28,96.4,Aurea Alexandrina,22,81.5
f112v,409,237,37,37,Trifera Magna,28,75.7,Mithridatium,54,68.5
f113r,511,311,46,46,Mithridatium,54,85.2,Theriac Magna,64,71.9
f113v,480,257,37,37,Trifera Magna,28,75.7,Mithridatium,54,68.5
f114r,445,258,36,36,Trifera Magna,28,77.8,Mithridatium,54,66.7
f114v,364,229,31,31,Trifera Magna,28,90.3,Aurea Alexandrina,22,71.0
f115r,435,245,37,37,Trifera Magna,28,75.7,Mithridatium,54,68.5
f115v,402,266,33,33,Trifera Magna,28,84.8,Aurea Alexandrina,22,66.7
f116r,535,232,31,31,Trifera Magna,28,90.3,Aurea Alexandrina,22,71.0
f116v,2,2,0,0,Theriac Magna,64,0,Mithridatium,54,0
